"Id","Nom","Fichier","Catégorie","Ingrédients"
"46","Baeckeoffe alsacien au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BAECKEOFFE%20ALSACIEN%20AU%20THERMOCHEF.mp3","Plats","250 g de porc (échine ou épaule)
250 g de mouton (épaule)
250 g de bœuf (paleron ou gîte)
75 cl de Riesling (vin d’Alsace)
1 gousse d’ail
2 oignons émincés
1 bouquet garni (thym, laurier)
500 g de pommes de terre
1 poireau émincé
Sel et poivre au goût"
"47","Blanquette de lieu noir au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BLANQUETTE%20DE%20LIEU%20NOIR%20AU%20THERMOCHEF.mp3","Plats","600 g de lieu noir en filets
2 carottes coupées en rondelles
2 pomme de terre coupées en morceau
1 poireau émincé
1 oignon émincé
2 gousses d’ail hachées
300 ml de bouillon de légumes
150 ml de crème fraîche
1 cuillère à soupe de moutarde
1 cuillère à soupe d’huile d’olive
Sel et poivre au goût
lieu noir en filets"
"48","Blanquette de veau au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BLANQUETTE%20DE%20VEAU%20AU%20THERMOCHEF.mp3","Plats","700 grammes de viande de veau.
4 pommes de terre moyennes.
4 carottes moyennes.
1 oignon.
50 grammes de champignons de Paris.
20 centilitre de vin blanc.
1 bouillon de poule.
1 bouillon de légume.
2 cuillère à soupe de farine.
1 litre d’eau.
1 jaune d’œuf.
1 petit pot de crème fraiche.
1 citron.
Sel et poivre.
Un peu d’huile d’olive."
"49","Boudin noir aux pommes de terre et pomme au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BOUDIN%20NOIR%20AUX%20POMMES%20DE%20TERRE%20ET%20POMME%20AU%20THERMOCHEF.mp3","Plats","2 boudins noirs moyens, coupés en morceaux
3 pommes de terre moyennes, épluchées et coupées en
rondelles
1 pomme (fruit), épluchée et coupée en rondelles
Sel et poivre au goût
1 noix de beurre (facultatif)"
"50","Bouillabaisse au thermochef — version accessible","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BOUILLABAISSE%20AU%20THERMOCHEF%20%E2%80%94%20VERSION%20ACCESSIBLE.mp3","Plats","1 kg de poissons variés (lotte, rouget, grondin, merlu)
300 g de crevettes ou langoustines
500 g de moules nettoyées
2 oignons émincés
3 tomates pelées et coupées en morceaux
2 poireaux émincés
2 gousses d’ail hachées
1 fenouil émincé
1 bouquet garni (thym, laurier, persil)
1 pincée de safran
1 cuillère à soupe de concentré de tomates
20 cl de vin blanc sec
1,5 litre d’eau ou de fumet de poisson
3 cuillères à soupe d’huile d’olive
Sel et poivre au goût
crevettes ou langoustines
poireau"
"51","Boulettes de viande, pommes de terre et sauce tomate au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/BOULETTES%20DE%20VIANDE%2C%20POMMES%20DE%20TERRE%20ET%20SAUCE%20TOMATE%20AU%20THERMOCHEF.mp3","Plats","500 g de viande hachée (bœuf ou mélange bœuf-porc)
1 œuf
2 cuillères à soupe de chapelure
2 gousses d’ail hachées
1 oignon émincé
400 g de tomates pelées en dés (ou concassées)
2 cuillères à soupe de concentré de tomates
1 cuillère à café de sucre
2 cuillères à soupe d’huile d’olive
1 bouquet garni (thym, laurier)
Sel et poivre au goût
Persil haché pour la garniture (facultatif)
oeuf"
"52","Cake aux courgettes, pesto et parmesan facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CAKE%20AUX%20COURGETTES%2C%20PESTO%20ET%20PARMESAN%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Plats","2 œufs
90 g de farine
1 sachet de levure chimique
1 poignée de pignons de pin
1 courgette moyenne râpée
75 g de parmesan râpé
3 cuillères à soupe de pesto
7 cuillères à soupe d’huile de tournesol
10 cl de vin blanc sec
1 pincée de sel
Poivre du moulin (selon goût)"
"53","Cake aux olives noires et tofu fume facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CAKE%20AUX%20OLIVES%20NOIRES%20ET%20TOFU%20FUME%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Plats","2 œufs
1 yaourt nature
75 g de farine
10 olives noires dénoyautées
100 g de tofu fumé coupé en dés
1 sachet de levure chimique
1/2 cuillère à café d’herbes de Provence
7 cuillères à soupe d’huile de tournesol
10 cl de vin blanc sec
1 pincée de sel
Poivre du moulin (selon goût)
oeuf
olives noires denoyautees
tofu fume coupe en
sachet de levure chimique
soupe d'huile de tournesol
œuf"
"54","Cake aux olives, poivron et feta facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CAKE%20AUX%20OLIVES%2C%20POIVRON%20ET%20FETA%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Plats","2 œufs
75 g de farine
1 sachet de levure chimique
10 olives noires dénoyautées
1/2 poivron rouge moyen
60 g de fêta coupée en dés
60 g de fromage râpé (gruyère ou emmental)
7 cuillères à soupe d’huile de tournesol
10 cl de vin blanc sec
1 pincée de sel
Poivre du moulin (selon goût)
oeuf
sachet de levure chimique
olives noires denoyautees
poivron rouge moyen
soupe d'huile de tournesol
œuf"
"55","Cake de tomate, basilic et chevre chaud facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CAKE%20DE%20TOMATE%2C%20BASILIC%20ET%20CHEVRE%20CHAUD%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Plats","2 œufs
75 g de farine
1 sachet de levure
80 g de fromage blanc
1/2 bûche de fromage de chèvre
Tomates séchées (sans huile)
7 cuillères à soupe d’huile de tournesol
Basilic frais, ciselé
Une pincée de sel
Poivre du moulin, selon les goûts
Dans un saladier, cassez les œufs, puis ajoutez la farine, l’huile de tournesol et le fromage blanc.
Mélangez au fouet jusqu’à obtenir une préparation lisse, sans grumeaux.
Assaisonnez avec le sel et le poivre selon votre goût.
Versez la moitié de cette préparation dans le moule à cake en silicone Thermochef légèrement
Disposez une couche de tranches de fromage de chèvre sur la préparation, puis ajoutez une
couche de tomates séchées.
Versez le reste de la préparation par-dessus.
Saupoudrez de basilic frais ciselé.
Versez 400 ml d’eau dans la cuve du Thermochef, puis placez la plaque métallique au fond.
Recouvrez le moule de papier film ou de papier aluminium de façon hermétique, puis placez-le
sur la plaque métallique.
Fermez le couvercle et sélectionnez le menu four vapeur 42 minutes vapeur 7 , à puissance 3.
Une fois la cuisson terminée, démoulez délicatement votre cake.
bonne dégustation !"
"56","Cassoulet facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CASSOULET%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Plats","500 g de haricots blancs secs (trempés 12 heures)
300 g de confit de canard (2 cuisses)
300 g de saucisses de Toulouse
150 g de poitrine de porc salée
1 oignon piqué de 2 clous de girofle
2 gousses d’ail hachées
2 carottes coupées en rondelles
1 bouquet garni (thym, laurier)
2 cuillères à soupe de concentré de tomates
1 cuillère à soupe de graisse de canard ou d’huile d’olive
Sel et poivre au goût
Chapelure (facultatif pour servir)"
"57","Chili vegetalien facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CHILI%20VEGETALIEN%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Plats","2 cuillères à soupe d’huile d’olive
Sel et poivre au goût
2 cuillères à café d’origan séché
2 cuillères à café de poudre de cumin
3 gousses d’ail émincées
1 oignon émincé
200 g de poivron rouge coupé en dés
200 g de poivron vert coupé en dés
300 g de carottes coupées en petits dés
1 boîte de tomates naturelles hachées (400 g)
1 pot de sauce tomate (560 g)
1 boîte de maïs égoutté (340 g)
3 boîtes de haricots rouges égouttés (environ 400 g chacune)"
"58","Chou au seitan au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CHOU%20AU%20SEITAN%20AU%20THERMOCHEF.mp3","Plats","1/2 chou vert coupé en lanières
1 oignon émincé
2 carottes coupées en rondelles
125 g de seitan coupé en dés
1 cuillère à soupe de cumin
20 cl de vin blanc
1 cuillère à soupe d’huile d’olive
20 cl d’eau
Sel et poivre au goût
chou vert coupe en"
"59","Choucroute garnie au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CHOUCROUTE%20GARNIE%20AU%20THERMOCHEF.mp3","Plats","1 kg de choucroute crue
300 g de lard fumé
6 saucisses de Strasbourg
2 saucisses de Montbéliard
1 palette de porc demi-sel (environ 400 g)
1 jarret de porc (environ 600 g)
4 pommes de terre
2 oignons émincés
2 gousses d’ail hachées
30 cl de vin blanc sec (Riesling)
30 cl de bouillon de volaille
2 cuillères à soupe de graisse de canard ou d’huile d’olive
1 bouquet garni (thym, laurier)
Sel et poivre au goût
Baies de genièvre (facultatif)"
"60","Colin sauce citron et capres au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/COLIN%20SAUCE%20CITRON%20ET%20CAPRES%20AU%20THERMOCHEF.mp3","Plats","4 pavés de colin
1 citron (jus et zeste)
1 cuillère à soupe de câpres
2 échalotes hachées
150 ml de vin blanc sec
100 ml de crème liquide
1 cuillère à soupe d’huile d’olive
Sel et poivre au goût"
"61","Creme de carottes facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CREME%20DE%20CAROTTES%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Plats","2 kg de carottes
1 oignon
2 cuillères à soupe d’huile d’olive
Sel et poivre au goût"
"62","Creme de courgettes et fenouil facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CREME%20DE%20COURGETTES%20ET%20FENOUIL%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Plats","1 kg de courgettes
1 oignon
1 racine de fenouil
2 cuillères à soupe d’huile d’olive
Sel et poivre au goût
1 pincée de paprika"
"63","Creme de potiron facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/CREME%20DE%20POTIRON%20FACON%20THERMOCHEF%20%E2%80%94.mp3","Plats","2 kg de potiron coupé en gros cubes
1 oignon
1 cuillère à soupe d’huile d’olive
1 cuillère à café d’herbes de Provence
Sel et poivre au goût
potiron coupe en gros"
"64","Dhal de lentilles corail et riz basmati au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/DHAL%20DE%20LENTILLES%20CORAIL%20ET%20RIZ%20BASMATI%20AU%20THERMOCHEF.mp3","Plats","500 g de lentilles corail
2 oignons jaunes
2 gousses d’ail
2 cm de gingembre frais
400 g de tomates concassées
100 cl de lait de riz et de coco (mélange)
200 g de pousses d’épinards
1 cuillère à soupe d’huile d’olive
1 cuillère à café de cumin moulu
1 cuillère à café de coriandre moulue
1 cuillère à café de paprika
2 cuillères à café de curcuma en poudre
1 cuillère à café de garam masala
Le jus d’un citron
500 g de riz basmati
Sel au goût
Eau (1,5 volume d’eau pour 1 volume de riz)
pour le dhal
cm de gingembre frais
cafe de cumin moulu
cafe de coriandre moulue"
"65","Diots de savoie aux pommes de terre au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/DIOTS%20DE%20SAVOIE%20AUX%20POMMES%20DE%20TERRE%20AU%20THERMOCHEF.mp3","Plats","diots de savoie
pommes de terre"
"66","Endives au jambon gratinees facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/ENDIVES%20AU%20JAMBON%20GRATINEES%20FACON%20THERMOCHEF.mp3","Plats","2 endives moyennes
2 tranches de jambon
100 g de gruyère râpé
20 cl de sauce béchamel
Sel et poivre
Préparation :
Préparation des endives :
Lavez soigneusement les endives.
Retirez la base dure des endives si nécessaire.
Assemblage :
Enroulez chaque endive dans une tranche de jambon.
Disposition dans la cuve :
Versez une couche fine de gruyère râpé au fond de la cuve du Thermochef.
Disposez les endives enroulées dans le jambon par-dessus.
Recouvrez avec la sauce béchamel.
Salez et poivrez selon vos goûts.
Cuisson au Thermochef Intelligence Évolution :
Méthode 1 : Cuisson douce (al dente)
Fermez le couvercle.
Programmez le menu Thermodiet pour 28 minutes à 88 °C.
Méthode 2 : Gratiné rapide
Programmez le mode Thermogrill, puissance 3, pendant 10 minutes pour un effet gratiné.
Conseils :
Pour un gratin plus doré, augmentez la température à 90-95 °C pour la première méthode.
Servez chaud avec une salade verte ou des pommes de terre vapeur pour accompagner."
"67","Farfalles poulet pesto tout-en-un au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/FARFALLES%20POULET%20PESTO%20TOUT-EN-UN%20AU%20THERMOCHEF.mp3","Plats","farfalles
poulet
pesto"
