Id,Nom,Image,Catégorie,Description,Cuisson,Préparation,Portions unité,Difficulté,Portions,Régime,Coût,Instructions,Ingrédients,Audio
215,Asperges à la vapeur,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/215.jpg,Entrées,"Des asperges vertes cuites à la vapeur servies avec un filet d'huile d'olive, salées et poivrées à la perfection.",3,0,personnes,1,4,Végétalien,2,"Éplucher légèrement les asperges et couper les extrémités dures.
Placer les asperges dans le panier vapeur du Thermochef.
Ajouter 150 ml d'eau dans la cuve.
Sélectionner le menu Pression, niveau 6, puissance 3.
Régler le temps de cuisson à 3 minutes.
Servir les asperges arrosées d'un filet d'huile d'olive, salées et poivrées.","1 botte Asperges vertes
150 ml Eau
Huile d'olive, pour servir, au goût
Sel, au goût
Poivre, au goût",
216,Champignons farcis,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/216.jpg,Entrées,"Des champignons de Paris farcis avec un mélange d'échalote, d'ail, et de persil, puis cuits au Thermochef.",15,5,personnes,3,4,Végétalien,3,"Nettoyer les champignons et retirer les pieds.
Hacher finement les pieds des champignons, l'échalote, l'ail et le persil.
Faire revenir le mélange dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Farcir les têtes de champignons avec le mélange.
Placer les champignons farcis dans du Thermochef.
Cuire au mode thermogrill, couvercle fermé, puissance 3, pendant 10 minutes. pression 2","12 Champignons de Paris, gros
1 Échalote
2 Gousses d'ail
Persil haché, au goût
Huile d'olive, au goût
Sel, au goût
Poivre, au goût",
217,Poivrons farcis au quinoa,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/217.jpg,Entrées,"Des poivrons colorés farcis d'un mélange savoureux de quinoa, légumes et herbes cuits en mode vapeur.",20,10,personnes,4,4,Végétalien,3,"Cuire le quinoa dans le Thermochef en mode Riz, Mode 3.
Couper le haut des poivrons et évider l'intérieur.
Hacher l'oignon, l'ail et la tomate.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Mélanger le quinoa cuit, l'oignon, l'ail, la tomate, le sel, le poivre et les herbes.
Farcir les poivrons avec le mélange.
Placer les poivrons dans la cuve du Thermochef.
Cuire en mode Four vapeur, pression 4, pendant 10 minutes, puissance 2.","4 Poivrons
200 g Quinoa
1 Oignon, haché
2 Gousses d'ail, hachées
1 Tomate, hachée
Sel, au goût
Poivre, au goût
1 pincée Herbes de Provence",
218,Aubergines grillées,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/218.jpg,Entrées,"Des tranches d'aubergines grillées à l'huile d'olive, simples et savoureuses.",10,5,personnes,2,4,Végétalien,2,"Couper les aubergines en tranches d'environ 1 cm d'épaisseur.
Badigeonner les tranches d'huile d'olive.
Faire griller les tranches d'aubergines dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Assaisonner de sel et de poivre.","2 Aubergines
Huile d'olive, pour badigeonner, au goût
Sel, au goût
Poivre, au goût",
219,Courgettes farcies aux légumes,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/219.jpg,Entrées,"Des courgettes évidées et farcies avec un mélange de légumes colorés, cuites ensuite au Thermochef.",22,10,personnes,3,4,Végétalien,3,"Couper les courgettes en deux dans le sens de la longueur et évider l'intérieur.
Hacher finement l'oignon, le poivron, la carotte et l'ail.
Faire revenir le mélange de légumes dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 10 minutes.
Farcir les demi-courgettes avec le mélange de légumes.
Placer les courgettes farcies dans la cuve du Thermochef.
Cuire en mode Thermo grill, puissance 7, pendant 12 minutes.","4 Courgettes, petites
1 Oignon
1 Poivron rouge
1 Carotte
2 Gousses d'ail
1 filet Huile d'olive
Sel, au goût
Poivre, au goût
1 pincée Herbes de Provence",
220,Brocolis à la vapeur,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/220.jpg,Entrées,"Simple et sain, du brocoli cuit à la vapeur arrosé d'huile d'olive, salé et poivré.",3,0,personnes,1,4,Végétalien,2,"Découper le brocoli en petits bouquets.
Placer les bouquets de brocoli dans le panier vapeur du Thermochef.
Ajouter 150 ml d'eau dans la cuve.
Sélectionner le menu Pression, niveau 6, puissance 3.
Régler le temps de cuisson à 3 minutes.
Servir les brocolis arrosés d'un filet d'huile d'olive, salés et poivrés.","1 Tête de brocoli
150 ml Eau
1 Huile d'olive, pour arroser
Sel, au goût
Poivre, au goût",
221,Tomates farcies au riz et aux légumes,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/221.jpg,Entrées,"Des tomates farcies avec un mélange savoureux de riz et légumes, cuites au four vapeur.",22,10,personnes,4,4,Végétalien,3,"Cuire le riz dans le Thermochef en mode Riz, Mode 2.
Couper le haut des tomates et évider l'intérieur.
Hacher finement l'oignon, le poivron et la carotte.
Faire revenir les légumes dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 10 minutes.
Mélanger le riz cuit avec les légumes, le sel, le poivre et les herbes.
Farcir les tomates avec le mélange.
Placer les tomates dans la cuve du Thermochef.
Cuire en mode thermo grill , puissance 3, pendant 12 minutes Pression 3","4 Grosses tomates
150 g Riz
1 Oignon, finement haché
1 Poivron vert, haché finement
1 Carotte, hachée finement
1 pincée Herbes de Provence
Sel, au goût
Poivre, au goût
Huile d'olive, au goût",
222,Poireaux vinaigrette,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/222.jpg,Entrées,Une recette simple et classique de poireaux servis avec une vinaigrette maison.,3,5,personnes,2,4,Végétalien,2,"Nettoyer les poireaux et couper la partie verte, ne garder que le blanc et un peu de vert tendre.
Placer les poireaux dans le panier vapeur du Thermochef.
Ajouter 150 ml d'eau dans la cuve.
Sélectionner le menu Pression, niveau 6, puissance 3.
Régler le temps de cuisson à 3 minutes.
Servir les poireaux tièdes ou froids avec la vinaigrette.","4 Poireaux, ne garder que le blanc et un peu de vert tendre
150 ml Eau
Vinaigrette, (huile d'olive, vinaigre, moutarde, sel, poivre), au goût",
223,Ratatouille,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/223.jpg,Entrées,"Un classique de la cuisine provençale, la ratatouille est un ragoût de légumes savoureux.",12,5,personnes,3,4,Végétalien,3,"Couper tous les légumes en dés.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter les autres légumes, le sel, le poivre et les herbes.
Sélectionner le menu Ragoût, pression 6, puissance 3.
Cuire pendant 12 minutes.","1 Aubergine
1 Courgette
1 Poivron rouge
1 Oignon
2 Tomates
2 Gousses d'ail
1 filet Huile d'olive
Sel, au goût
Poivre, au goût
1 pincée Herbes de Provence",
224,Carottes vichy,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/224.jpg,Plats,Une recette simple et délicieuse de carottes cuites à la vapeur et revenus avec du beurre végétalien et du sucre.,7,0,personnes,2,4,Végétalien,2,"Éplucher les carottes et les couper en rondelles.
Placer les carottes dans le panier vapeur du Thermochef.
Ajouter 150 ml d'eau dans la cuve.
Sélectionner le menu Pression, niveau 6, puissance 3.
Régler le temps de cuisson à 3 minutes.
Égoutter les carottes et les remettre dans la cuve.
Ajouter le beurre végétalien, le sucre et le sel.
Faire revenir en mode Thermo grill, couvercle ouvert, puissance 3, pendant 4 minutes.","500 g Carottes, épluchées et coupées en rondelles
30 g Beurre végétalien
1 cuillère à soupe Sucre
Sel, au goût",
225,Risotto aux champignons,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/225.jpg,Plats,"Un risotto crémeux aux champignons de Paris, idéal pour un repas réconfortant.",15,10,personnes,3,4,Végétalien,3,"Hacher l'oignon et l'ail.
Émincer les champignons.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter les champignons et cuire 5 minutes supplémentaires.
Ajouter le riz et le bouillon de légumes.
Sélectionner le menu Riz, Mode 4.","300 g Riz arborio
500 g Champignons de Paris, émincés
1 Oignon, haché
2 Gousses d'ail, hachées
750 ml Bouillon de légumes
Huile d'olive, au goût
Sel, au goût
Poivre, au goût",
226,Curry de légumes,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/226.jpg,Plats,Un curry de légumes riche en goût et facile à réaliser avec le Thermochef.,17,10,personnes,3,4,Végétalien,3,"Couper tous les légumes en dés.
Hacher l'oignon et l'ail.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter la pâte de curry et cuire 2 minutes.
Ajouter les légumes et le lait de coco.
Sélectionner le menu Ragoût, pression 6, puissance 3.
Cuire pendant 15 minutes.","1 Aubergine, coupée en dés
1 Courgette, coupée en dés
1 Poivron rouge, coupé en dés
1 Oignon, haché
2 Gousses d'ail, hachées
400 ml Lait de coco
2 cuillère à soupe Pâte de curry
Huile d'olive, au goût
Sel, au goût
Poivre, au goût",
227,Lasagnes aux épinards et tofu,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/227.jpg,Plats,"Des lasagnes végétariennes avec des épinards et du tofu, cuites au Thermochef.",8,25,personnes,4,6,Végétalien,3,"Faites chauffer 2 l’eau dans la cuve à 80 degrés menu thermodiet couvercle fermé. Mettre cette eau dans un saladier et mettre les plaques de lasagne à tremper pendant 10 minutes.
Hacher l'oignon et l'ail. Émietter le tofu.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter les épinards et cuire jusqu'à ce qu'ils réduisent.
Ajouter le tofu, la noix de muscade, le sel et le poivre.
Monter les lasagnes en alternant couches de sauce tomate, feuilles de lasagne et mélange épinards-tofu.
Cuire dans le Thermochef en mode Four vapeur, puissance 2, pression 5 pendant 8 minutes.","250 g Feuilles de lasagne
500 g Épinards, frais
400 g Tofu, ferme
1 Oignon
2 Gousses d'ail
700 ml Sauce tomate
Huile d'olive
Sel, au goût
Poivre, au goût
Noix de muscade",
228,Chili sin carne,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/228.jpg,Plats,"Une variante végétarienne du fameux plat tex-mex, riche en saveurs et facile à préparer avec un Thermochef.",30,5,personnes,3,4,Végétalien,2,"Hacher l'oignon et l'ail.
Couper le poivron en dés.
Faire revenir l'oignon, l'ail et le poivron dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter les haricots rouges, la sauce tomate, le cumin, le paprika, le sel et le poivre.
Sélectionner le menu Ragoût, pression 6, puissance 3.
Cuire pendant 30 minutes.","400 g Haricots rouges, cuits
1 Oignon
2 Gousses d'ail
1 Poivron rouge
400 ml Sauce tomate
1 cuillère à café Cumin
1 cuillère à café Paprika
1 Huile d'olive
Sel, au goût
Poivre, au goût",
229,Paëlla végétalienne,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/229.jpg,Plats,"Une version végétalienne du classique espagnol, riche en saveurs et en couleurs.",20,10,personnes,4,6,Végétalien,4,"Hacher l'oignon et l'ail.
Couper les poivrons en dés.
Faire revenir l'oignon, l'ail et les poivrons dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter le riz, les tomates concassées, le paprika, le safran, le sel et le poivre.
Ajouter le bouillon de légumes.
Sélectionner le menu Riz, Mode 5.","300 g Riz à paëlla
1 Oignon, haché
2 Gousses d'ail, hachées
1 Poivron rouge, coupé en dés
1 Poivron vert, coupé en dés
200 g Petits pois
400 g Tomates concassées
1 litre Bouillon de légumes
1 cuillère à café Paprika
1 pincée Safran
Huile d'olive, au goût
Sel, au goût
Poivre, au goût",
230,Tofu teriyaki,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/230.jpg,Plats,Un tofu ferme mariné dans une sauce teriyaki sucrée et grillé à la perfection.,10,35,personnes,3,4,Végétalien,3,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en tranches.
Mélanger la sauce soja, le sirop d'érable, le vinaigre de riz, l'huile de sésame, l'ail haché et le gingembre râpé pour faire la marinade.
Mariner le tofu pendant au moins 30 minutes.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.","400 g Tofu, ferme
4 cuillère à soupe Sauce soja
2 cuillère à soupe Sirop d'érable
1 cuillère à soupe Vinaigre de riz
1 cuillère à soupe Huile de sésame
1 Gousse d'ail, hachée
1 morceau Gingembre frais, râpé
Huile d'olive, au goût",
231,Ratatouille aux lentilles,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/231.jpg,Plats,"Une délicieuse ratatouille aux lentilles, mélangeant légumes et légumineuses pour un plat complet.",20,15,personnes,3,4,Végétalien,3,"Couper tous les légumes en dés.
Hacher l'oignon et l'ail.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter les légumes, les lentilles, le bouillon, le sel, le poivre et les herbes.
Sélectionner le menu Ragoût, pression 6, puissance 3.
Cuire pendant 15 minutes.","1 Aubergine, coupée en dés
1 Courgette, coupée en dés
1 Poivron rouge, coupé en dés
1 Oignon, haché
2 Tomates, coupées en dés
2 Gousses d'ail, hachées
200 g Lentilles vertes
450 ml Bouillon de légumes
Huile d'olive, au goût
Sel, au goût
Poivre, au goût
Herbes de Provence, au goût",
232,Boulettes de lentilles au curry,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/232.jpg,Plats,"Des boulettes savoureuses à base de lentilles vertes parfumées au curry, cuites au Thermochef.",10,15,personnes,4,4,Végétalien,3,"Hacher l'oignon et l'ail.
Mixer les lentilles cuites avec l'oignon, l'ail, la pâte de curry, le sel et le poivre.
Former des boulettes avec le mélange et les enrober de chapelure.
Faire cuire les boulettes dans le Thermochef en mode Four/Plancha à 140°C pendant 10 minutes avec de l’huile d’olive, en les retournant à mi-cuisson.","200 g Lentilles vertes, cuites
1 Oignon
2 Gousses d'ail
1 cuillère à soupe Pâte de curry
150 g Chapelure, pour enrobage
Huile d'olive, pour la cuisson, au goût
Sel, au goût
Poivre, au goût",
233,Tofu à l'orange,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/233.jpg,Plats,"Tofu mariné dans une sauce à base d'orange et de soja, grillé au thermo grill.",10,35,personnes,3,4,Végétalien,3,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en tranches.
Mélanger le jus d'orange, la sauce soja, le sirop d'érable, l'ail haché et le gingembre râpé pour faire la marinade.
Mariner le tofu pendant au moins 30 minutes.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Saupoudrer de graines de sésame avant de servir.","400 g Tofu ferme
2 Oranges, jus
2 cuillère à soupe Sauce soja
1 cuillère à soupe Sirop d'érable
1 Gousse d'ail, hachée
1 morceau Gingembre frais, râpé
Huile d'olive, pour grillade, au goût
Graines de sésame, pour garniture, au goût",
234,Spaghettis aux légumes et sauce tomate,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/234.jpg,Plats,"Des spaghettis agrémentés de légumes frais et d'une sauce tomate maison, idéal pour un repas sain et gourmand.",20,10,personnes,2,4,Végétalien,2,"Couper la courgette et le poivron en dés.
Hacher l'oignon et l'ail.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 10 minutes.
Ajouter la courgette, le poivron et la sauce tomate.
Cuire les spaghettis dans le Thermochef en mode Pâtes, Mode 3.
Égoutter les pâtes et les mélanger avec la sauce aux légumes.
Servir avec du basilic frais.","400 g Spaghettis
1 Courgette, coupée en dés
1 Poivron rouge, coupé en dés
1 Oignon, haché
2 Gousses d'ail, hachées
400 ml Sauce tomate
Huile d'olive, au goût
Sel, au goût
Poivre, au goût
Basilic, frais pour servir, au goût",
235,Gratin de courgettes au tofu,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/235.jpg,Plats,Un gratin végétarien alliant la douceur des courgettes au tofu ferme relevé par une note de crème de soja.,25,10,personnes,3,4,Végétalien,3,"Couper les courgettes en rondelles.
Émietter le tofu.
Hacher l'oignon et l'ail.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter les courgettes et cuire 5 minutes supplémentaires.
Dans la cuve, alterner les couches de courgettes et de tofu.
Verser la crème de soja sur le gratin.
Saupoudrer de chapelure.
Cuire dans le Thermochef en mode thermo grill, puissance 3, pendant 15 minutes. pression 3","3 Courgettes, en rondelles
400 g Tofu ferme, émietté
1 Oignon, haché
2 Gousses d'ail, hachées
200 ml Crème de soja
150 g Chapelure
Huile d'olive, au goût
Sel, au goût
Poivre, au goût
1 pincée Noix de muscade",
236,Tofu général tao,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/236.jpg,Plats,"Un plat savoureux de tofu assaisonné à la mode général tao, grillé et enrobé d'une sauce délicatement sucrée et épicée.",12,10,personnes,3,4,Végétalien,3,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en cubes.
Mélanger la sauce soja, le vinaigre de riz, le sirop d'érable, la fécule de maïs, l'ail haché et le gingembre râpé pour faire la sauce.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Ajouter la sauce et cuire 2 minutes supplémentaires.
Saupoudrer de graines de sésame avant de servir.","400 g Tofu, ferme
4 cuillère à soupe Sauce soja
2 cuillère à soupe Vinaigre de riz
2 cuillère à soupe Sirop d'érable
1 cuillère à soupe Fécule de maïs
1 Gousse d'ail, hachée
1 Morceau de gingembre frais, râpé
Huile d'olive, au goût
Graines de sésame, au goût",
237,Tofu aux épinards et noix de cajou,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/237.jpg,Plats,"Une recette savoureuse mariant le tofu ferme aux épinards frais et noix de cajou, agrémentée d'un filet de sauce soja.",10,10,personnes,3,4,Végétalien,4,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en cubes.
Hacher l'ail.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Ajouter l'ail et les épinards, cuire jusqu'à ce que les épinards réduisent.
Ajouter les noix de cajou et un filet de sauce soja.
Assaisonner de sel et de poivre.","400 g Tofu ferme
500 g Épinards frais
100 g Noix de cajou
2 Gousses d'ail, hachées
Sauce soja, au goût
Huile d'olive, au goût
Sel, au goût
Poivre, au goût",
238,Tofu kung pao,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/238.jpg,Plats,"Une version végétarienne du classique Kung Pao, avec du tofu pour remplacer le poulet.",12,10,personnes,3,4,Végétalien,3,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en cubes.
Couper les poivrons et l'oignon en dés.
Hacher l'ail.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Ajouter les poivrons, l'oignon, l'ail et les cacahuètes.
Mélanger la sauce soja, le vinaigre de riz, le sirop d'érable et la pâte de piment pour faire la sauce.
Ajouter la sauce et cuire 7 minutes supplémentaires.","400 g Tofu ferme
1 Poivron rouge, coupé en dés
1 Poivron vert, coupé en dés
1 Oignon, coupé en dés
2 Gousses d'ail, haché
50 g Cacahuètes
4 cuillère à soupe Sauce soja
2 cuillère à soupe Vinaigre de riz
1 cuillère à soupe Sirop d'érable
1 cuillère à café Pâte de piment
Huile d'olive, au goût",
239,Tofu aux champignons et brocolis,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/239.jpg,Plats,"Une recette saine et savoureuse alliant tofu, champignons et brocolis, idéale pour un repas équilibré.",10,10,personnes,3,4,Végétalien,3,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en cubes.
Couper les brocolis en petits bouquets et les champignons en lamelles.
Hacher l'ail.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Ajouter les brocolis, les champignons et l'ail.
Ajouter un filet de sauce soja et cuire jusqu'à ce que les légumes soient tendres.
Assaisonner de sel et de poivre.","400 g Tofu ferme
500 g Brocolis, en petits bouquets
250 g Champignons de Paris, en lamelles
2 Gousses d'ail, hachées
Sauce soja, au goût
Huile d'olive, au goût
Sel, au goût
Poivre, au goût",
240,Tofu aux poivrons et ananas,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/240.jpg,Plats,"Un plat végétarien mélangeant tofu grillé, poivrons et ananas frais avec une touche d'ail et de sauce soja.",10,10,personnes,3,4,Végétalien,3,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en cubes.
Couper les poivrons en dés et l'ananas en morceaux.
Hacher l'ail.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Ajouter les poivrons, l'ananas et l'ail.
Ajouter un filet de sauce soja et cuire 5 minutes supplémentaires.
Assaisonner de sel et de poivre.","400 g Tofu ferme
1 Poivron rouge, coupé en dés
1 Poivron vert, coupé en dés
200 g Ananas frais, coupé en morceaux
2 Gousses d'ail, hachées
1 filet Sauce soja
1 filet Huile d'olive
Sel, au goût
Poivre, au goût",
241,Tofu aux carottes et gingembre,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/241.jpg,Plats,"Une recette végétalienne savoureuse de tofu ferme marié aux carottes et au gingembre, parfait pour un repas équilibré.",8,10,personnes,3,4,Végétalien,3,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en cubes.
Éplucher et couper les carottes en rondelles.
Râper le gingembre et hacher l'ail.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Ajouter les carottes, le gingembre et l'ail.
Ajouter un filet de sauce soja et cuire en menu ragout puissance 2, pression 5, pendant 3 minutes.
Assaisonner de sel et de poivre.","400 g Tofu ferme
500 g Carottes, en rondelles
1 Gingembre frais, râpé
2 Gousses d'ail, haché
1 filet Sauce soja
1 filet Huile d'olive
Sel, au goût
Poivre, au goût",
242,Tofu aux oignons et pois chiches,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/242.jpg,Plats,"Un plat simple et savoureux associant le tofu, les oignons et les pois chiches, rehaussé par une touche de sauce soja.",15,15,personnes,3,4,Végétalien,3,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en cubes.
Émincer l'oignon et hacher l'ail.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Ajouter l'oignon, l'ail et les pois chiches.
Ajouter un filet de sauce soja et cuire 5 minutes supplémentaires.
Assaisonner de sel et de poivre.","400 g Tofu ferme
1 Oignon, émincé
400 g Pois chiches cuits
2 Gousses d'ail, hachées
Sauce soja, au goût
Huile d'olive, au goût
Sel, au goût
Poivre, au goût",
243,Tofu aux tomates et basilic,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/243.jpg,Plats,Un plat simple et rafraîchissant composé de tofu grillé aux tomates cerises et parfumé au basilic frais.,10,15,personnes,2,4,Végétalien,2,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en cubes.
Couper les tomates cerises en deux.
Hacher l'ail.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Ajouter les tomates, l'ail et le basilic.
Cuire 5 minutes supplémentaires.
Assaisonner de sel et de poivre.","400 g Tofu ferme
500 g Tomates cerises, coupées en deux
1 Basilic frais
2 Gousses d'ail, hachées
1 Huile d'olive
Sel, au goût
Poivre, au goût",
244,Tofu aux courgettes et ail,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/244.jpg,Plats,Une recette savoureuse de tofu ferme grillé avec des courgettes et de l'ail frais.,15,10,personnes,2,4,Végétalien,2,"Égoutter et presser le tofu pour enlever l'excès d'eau.
Couper le tofu en cubes.
Couper les courgettes en rondelles.
Écraser l'ail.
Faire griller le tofu dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes de chaque côté.
Ajouter les courgettes et l'ail.
Cuire jusqu'à ce que les courgettes soient tendres.
Assaisonner de sel et de poivre.","400 g Tofu ferme
2 Courgettes, en rondelles
4 Gousses d'ail, écrasées
Sel, au goût
Poivre, au goût",
245,Seitan sauté aux poivrons,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/245.jpg,Plats,Un plat végétalien savoureux de seitan sauté avec des poivrons et des oignons.,10,15,personnes,2,4,Végétalien,3,"Couper le seitan en lanières.
Émincer les poivrons, l'oignon et l'ail.
Faire revenir le seitan dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter les poivrons, l'oignon, l'ail et un filet de sauce soja.
Cuire 5 minutes supplémentaires.
Assaisonner de sel et de poivre.","400 g Seitan, en lanières
1 Poivron rouge, émincé
1 Poivron vert, émincé
1 Oignon, émincé
2 Gousses d'ail
1 filet Sauce soja
1 filet Huile d'olive
Sel, au goût
Poivre, au goût",
246,Seitan à la provençale,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/246.jpg,Plats,Un plat végétarien savoureux aux légumes et herbes de Provence.,12,5,personnes,3,4,Végétalien,3,"Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter le seitan et les légumes.
Ajouter les herbes de Provence, le sel et le poivre.
Sélectionner le menu Ragoût, pression 6, puissance 3.
Cuire pendant 12 minutes.","400 g Seitan, en cubes
1 Aubergine, en dés
1 Courgette, en dés
2 Tomates, en dés
1 Oignon, haché
2 Gousses d'ail, hachées
1 pincée Herbes de Provence
Sel, au goût
Poivre, au goût
1 cuillère à soupe Huile d'olive",
247,Bourguignon de seitan,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/247.jpg,Plats,"Une version végétalienne du classique bourguignon, utilisant du seitan comme substitut de la viande.",12,5,personnes,4,4,Végétalien,4,"Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter le seitan, les champignons, les carottes, le vin rouge, le thym, le laurier, le sel et le poivre.
Sélectionner le menu Ragoût, pression 6, puissance 3.
Cuire pendant 12 minutes.","400 g Seitan, coupé en cubes
200 g Champignons de Paris, émincés
2 Carottes, coupées en rondelles
1 Oignon, haché
2 Gousses d'ail, hachées
750 ml Vin rouge
1 pincée Thym
1 feuille Laurier
Sel, au goût
Poivre, au goût",
248,Seitan à l'orientale,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/248.jpg,Plats,"Un plat savoureux à base de seitan et d'épices à la manière orientale, parfait pour un dîner riche en protéines.",17,10,personnes,3,4,Végétalien,3,"Couper le seitan en lanières.
Hacher l'oignon et l'ail.
Faire revenir l'oignon et l'ail dans le Thermochef en mode Thermo grill, couvercle ouvert, puissance 3, pendant 5 minutes.
Ajouter le seitan, les épices, la sauce tomate, le sel et le poivre.
Sélectionner le menu Ragoût, pression 6, puissance 3.
Cuire pendant 12 minutes.","400 g Seitan, en lanières
1 Oignon, haché
2 Gousses d'ail, hachées
1 cuillère à café Cumin
1 cuillère à café Coriandre moulue
1 cuillère à café Paprika
400 ml Sauce tomate
Huile d'olive, au goût
Sel, au goût
Poivre, au goût",
